run_id,song_artist_id,song,artist,album_type,is_explicit,duration_min,run_number,is_reentry,entry_date,exit_date,stay_length_days,entry_rank,entry_popularity,peak_rank,peak_popularity,days_to_peak,rank_jump_magnitude,popularity_change_rate,momentum_intensity_score,days_retained_after_peak,rank_decay_speed,post_peak_volatility
1,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,0,False,2025-01-09,2025-01-09,1,26,64,26,64,1,0,0.0,0.0,0,,
2,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,1,True,2025-02-09,2025-02-09,1,28,68,28,68,1,0,0.0,0.0,0,,
3,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,2,True,2025-03-09,2025-03-09,1,28,70,28,70,1,0,0.0,0.0,0,,
4,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,3,True,2025-04-09,2025-04-09,1,32,72,32,72,1,0,0.0,0.0,0,,
5,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,4,True,2025-05-09,2025-05-09,1,45,73,45,73,1,0,0.0,0.0,0,,
6,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,5,True,2025-06-09,2025-06-09,1,45,73,45,73,1,0,0.0,0.0,0,,
7,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,6,True,2025-07-09,2025-07-09,1,49,74,49,74,1,0,0.0,0.0,0,,
8,1-800-hot-n-fun - LE SSERAFIM,1-800-hot-n-fun,LE SSERAFIM,single,False,2.890516666666666,7,True,2025-08-09,2025-08-09,1,49,75,49,75,1,0,0.0,0.0,0,,
9,24YB (Intro) - YANGHONGWON,24YB (Intro),YANGHONGWON,album,False,1.3873333333333333,0,False,2025-05-26,2025-05-28,3,26,38,26,44,1,0,6.0,2.4,2,5.5,4.784
10,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,single,False,2.709083333333333,0,False,2024-02-10,2024-02-10,1,5,78,5,78,1,0,0.0,0.0,0,,
11,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,single,False,2.709083333333333,1,True,2024-03-10,2024-03-10,1,5,80,5,80,1,0,0.0,0.0,0,,
12,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,2,True,2024-04-10,2024-04-10,1,10,54,10,54,1,0,0.0,0.0,0,,
13,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,3,True,2024-05-10,2024-05-10,1,10,59,10,59,1,0,0.0,0.0,0,,
14,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,4,True,2024-06-10,2024-06-10,1,15,62,15,62,1,0,0.0,0.0,0,,
15,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,5,True,2024-07-10,2024-07-10,1,22,64,22,64,1,0,0.0,0.0,0,,
16,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,6,True,2024-08-10,2024-08-10,1,26,65,26,65,1,0,0.0,0.0,0,,
17,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,7,True,2024-09-10,2024-09-10,1,22,66,22,66,1,0,0.0,0.0,0,,
18,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,8,True,2024-10-10,2024-10-10,1,32,67,32,67,1,0,0.0,0.0,0,,
19,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,9,True,2024-10-13,2024-10-21,9,33,68,24,72,3,9,1.333,2.333,5,4.0,6.602
20,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,10,True,2024-11-10,2024-11-10,1,32,67,32,67,1,0,0.0,0.0,0,,
21,3D (Alternate Ver.) - Jung Kook & Jack Harlow,3D (Alternate Ver.),Jung Kook & Jack Harlow,album,False,2.709083333333333,11,True,2024-12-10,2024-12-10,1,23,67,23,67,1,0,0.0,0.0,0,,
22,3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,single,False,2.682366666666667,0,False,2024-03-12,2024-03-12,1,38,75,38,75,1,0,0.0,0.0,0,,
23,3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,single,False,2.682366666666667,1,True,2024-04-12,2024-04-12,1,36,76,36,76,1,0,0.0,0.0,0,,
24,3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,single,False,2.682366666666667,2,True,2024-05-12,2024-05-12,1,46,76,46,76,1,0,0.0,0.0,0,,
25,3D (Justin Timberlake Remix) - Jung Kook & Justin Timberlake,3D (Justin Timberlake Remix),Jung Kook & Justin Timberlake,single,False,2.682366666666667,3,True,2024-11-25,2024-11-27,3,21,0,21,71,1,0,71.0,28.4,2,3.5,2.944
26,3D (feat. Jack Harlow) (Alternate Ver.) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Alternate Ver.),Jung Kook & Jack Harlow,single,False,2.709083333333333,0,False,2024-01-10,2024-01-10,1,4,0,4,0,1,0,0.0,0.0,0,,
27,3D (feat. Jack Harlow) (Alternate Ver.) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Alternate Ver.),Jung Kook & Jack Harlow,single,False,2.709083333333333,1,True,2024-09-30,2024-09-30,1,4,0,4,0,1,0,0.0,0.0,0,,
28,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,single,False,3.325833333333333,0,False,2024-01-10,2024-01-10,1,9,0,9,0,1,0,0.0,0.0,0,,
29,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,single,False,3.325833333333333,1,True,2024-02-10,2024-02-10,1,10,72,10,72,1,0,0.0,0.0,0,,
30,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,single,False,3.325833333333333,2,True,2024-03-10,2024-03-10,1,10,74,10,74,1,0,0.0,0.0,0,,
31,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,3,True,2024-04-10,2024-04-10,1,28,51,28,51,1,0,0.0,0.0,0,,
32,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,4,True,2024-05-10,2024-05-10,1,28,55,28,55,1,0,0.0,0.0,0,,
33,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,5,True,2024-09-10,2024-09-10,1,50,60,50,60,1,0,0.0,0.0,0,,
34,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,single,False,3.325833333333333,6,True,2024-09-30,2024-09-30,1,9,0,9,0,1,0,0.0,0.0,0,,
35,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,7,True,2024-10-10,2024-10-10,1,38,61,38,61,1,0,0.0,0.0,0,,
36,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,8,True,2024-10-13,2024-10-13,1,49,62,49,62,1,0,0.0,0.0,0,,
37,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,9,True,2024-11-10,2024-11-10,1,38,62,38,62,1,0,0.0,0.0,0,,
38,3D (feat. Jack Harlow) (Instrumental) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow) (Instrumental),Jung Kook & Jack Harlow,album,False,3.325833333333333,10,True,2024-12-10,2024-12-10,1,40,62,40,62,1,0,0.0,0.0,0,,
39,3D (feat. Jack Harlow) (MK Remix) - Jung Kook & Jack Harlow & MK,3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,single,True,3.104016666666667,0,False,2024-01-11,2024-01-11,1,30,0,30,0,1,0,0.0,0.0,0,,
40,3D (feat. Jack Harlow) (MK Remix) - Jung Kook & Jack Harlow & MK,3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,single,True,3.104016666666667,1,True,2024-02-11,2024-02-11,1,30,58,30,58,1,0,0.0,0.0,0,,
41,3D (feat. Jack Harlow) (MK Remix) - Jung Kook & Jack Harlow & MK,3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,single,True,3.104016666666667,2,True,2024-03-11,2024-03-11,1,33,62,33,62,1,0,0.0,0.0,0,,
42,3D (feat. Jack Harlow) (MK Remix) - Jung Kook & Jack Harlow & MK,3D (feat. Jack Harlow) (MK Remix),Jung Kook & Jack Harlow & MK,single,True,3.104016666666667,3,True,2024-10-31,2024-10-31,1,28,0,28,0,1,0,0.0,0.0,0,,
43,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,0,False,2025-01-02,2025-01-11,9,6,86,4,86,7,2,0.0,0.171,1,9.0,
44,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,1,True,2025-01-20,2025-01-31,12,6,86,6,86,1,0,0.0,0.0,11,0.0,0.276
45,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,2,True,2025-02-02,2025-02-28,26,6,86,4,86,8,2,0.0,0.15,17,0.118,2.315
46,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,3,True,2025-03-02,2025-03-31,27,5,86,4,86,8,1,0.0,0.075,18,0.056,2.226
47,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,4,True,2025-04-02,2025-04-30,28,6,86,4,86,8,2,0.0,0.15,19,0.158,2.037
48,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,5,True,2025-05-02,2025-05-31,29,6,86,4,86,8,2,0.0,0.15,20,0.3,2.104
49,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,6,True,2025-06-02,2025-06-30,28,6,86,5,86,1,1,0.0,0.6,26,0.423,4.483
50,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,7,True,2025-07-02,2025-07-31,29,6,86,4,86,8,2,0.0,0.15,20,0.25,1.838
51,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,8,True,2025-08-02,2025-08-31,28,6,86,5,86,1,1,0.0,0.6,26,0.115,1.805
52,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,9,True,2025-09-02,2025-09-30,28,4,86,4,86,1,0,0.0,0.0,27,0.0,1.8
53,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,10,True,2025-10-02,2025-10-31,29,3,86,3,86,1,0,0.0,0.0,28,0.393,3.726
54,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,11,True,2025-11-02,2025-11-27,24,4,86,4,86,1,0,0.0,0.0,23,0.391,3.48
55,3D (feat. Jack Harlow) - Jung Kook,3D (feat. Jack Harlow),Jung Kook,album,True,3.3635333333333333,12,True,2025-12-02,2025-12-11,10,4,85,4,85,1,0,0.0,0.0,9,0.556,2.191
56,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,single,True,3.3635333333333333,0,False,2024-01-10,2024-01-12,3,2,0,2,89,1,0,89.0,35.6,2,2.0,1.7
57,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,single,True,3.3635333333333333,1,True,2024-02-10,2024-02-12,3,2,86,2,89,1,0,3.0,1.2,2,2.0,1.7
58,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,single,True,3.3635333333333333,2,True,2024-03-10,2024-03-12,3,2,88,2,89,1,0,1.0,0.4,2,3.0,2.625
59,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,3,True,2024-04-10,2024-04-12,3,2,67,2,89,1,0,22.0,8.8,2,3.0,2.625
60,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,4,True,2024-05-10,2024-05-12,3,2,72,2,89,1,0,17.0,6.8,2,2.0,1.7
61,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,5,True,2024-06-10,2024-06-12,3,2,76,2,89,1,0,13.0,5.2,2,2.0,1.7
62,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,6,True,2024-07-10,2024-07-12,3,2,79,2,89,1,0,10.0,4.0,2,2.0,1.886
63,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,7,True,2024-08-10,2024-08-12,3,2,80,2,89,1,0,9.0,3.6,2,1.5,1.7
64,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,8,True,2024-09-10,2024-09-12,3,2,82,2,89,1,0,7.0,2.8,2,1.5,1.7
65,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,single,True,3.3635333333333333,9,True,2024-09-30,2024-09-30,1,2,0,2,0,1,0,0.0,0.0,0,,
66,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,10,True,2024-10-10,2024-10-31,22,2,83,2,89,1,0,6.0,2.4,21,0.048,1.154
67,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,11,True,2024-11-10,2024-11-30,21,2,84,2,89,1,0,5.0,2.0,20,0.2,2.037
68,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,12,True,2024-12-10,2025-01-01,23,2,84,2,88,1,0,4.0,1.6,22,0.182,0.926
69,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,13,True,2025-01-13,2025-01-19,7,6,87,6,87,1,0,0.0,0.0,6,0.0,0.0
70,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,14,True,2025-02-01,2025-02-01,1,6,84,6,84,1,0,0.0,0.0,0,,
71,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,15,True,2025-03-01,2025-03-01,1,6,85,6,85,1,0,0.0,0.0,0,,
72,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,16,True,2025-04-01,2025-04-01,1,6,85,6,85,1,0,0.0,0.0,0,,
73,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,17,True,2025-05-01,2025-05-01,1,6,85,6,85,1,0,0.0,0.0,0,,
74,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,18,True,2025-06-01,2025-06-01,1,6,86,6,86,1,0,0.0,0.0,0,,
75,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,19,True,2025-07-01,2025-07-01,1,6,86,6,86,1,0,0.0,0.0,0,,
76,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,20,True,2025-08-01,2025-08-01,1,6,86,6,86,1,0,0.0,0.0,0,,
77,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,21,True,2025-09-01,2025-09-01,1,6,87,6,87,1,0,0.0,0.0,0,,
78,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,22,True,2025-10-01,2025-10-01,1,6,87,6,87,1,0,0.0,0.0,0,,
79,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,23,True,2025-11-01,2025-11-01,1,6,87,6,87,1,0,0.0,0.0,0,,
80,3D (feat. Jack Harlow) - Jung Kook & Jack Harlow,3D (feat. Jack Harlow),Jung Kook & Jack Harlow,album,True,3.3635333333333333,24,True,2025-12-01,2025-12-01,1,6,87,6,87,1,0,0.0,0.0,0,,
81,990 (Feat. Kim Ximya) - Beenzino,990 (Feat. Kim Ximya),Beenzino,album,True,3.560216666666667,0,False,2024-05-07,2024-05-07,1,18,40,18,40,1,0,0.0,0.0,0,,
82,990 (Feat. Kim Ximya) - Beenzino,990 (Feat. Kim Ximya),Beenzino,album,True,3.560216666666667,1,True,2024-06-07,2024-06-07,1,18,46,18,46,1,0,0.0,0.0,0,,
83,990 (Feat. Kim Ximya) - Beenzino,990 (Feat. Kim Ximya),Beenzino,album,True,3.560216666666667,2,True,2024-07-07,2024-07-07,1,28,46,28,46,1,0,0.0,0.0,0,,
84,990 (Feat. Kim Ximya) - Beenzino,990 (Feat. Kim Ximya),Beenzino,album,True,3.560216666666667,3,True,2024-08-07,2024-08-07,1,38,50,38,50,1,0,0.0,0.0,0,,
85,990 (Feat. Kim Ximya) - Beenzino,990 (Feat. Kim Ximya),Beenzino,album,True,3.560216666666667,4,True,2024-09-07,2024-09-07,1,47,50,47,50,1,0,0.0,0.0,0,,
86,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,0,False,2024-01-11,2024-01-12,2,36,58,30,61,1,6,3.0,4.8,0,,
87,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,1,True,2024-02-11,2024-02-12,2,34,58,26,61,1,8,3.0,6.0,0,,
88,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,2,True,2024-03-11,2024-03-12,2,38,58,25,61,1,13,3.0,9.0,0,,
89,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,3,True,2024-04-11,2024-04-12,2,39,59,27,61,1,12,2.0,8.0,0,,
90,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,4,True,2024-05-11,2024-05-12,2,42,59,26,61,1,16,2.0,10.4,0,,
91,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,5,True,2024-06-06,2024-06-06,1,50,56,50,56,1,0,0.0,0.0,0,,
92,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,6,True,2024-06-11,2024-06-12,2,42,59,26,61,1,16,2.0,10.4,0,,
93,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,7,True,2024-07-11,2024-07-12,2,38,59,26,61,1,12,2.0,8.0,0,,
94,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,8,True,2024-08-11,2024-08-12,2,41,59,27,61,1,14,2.0,9.2,0,,
95,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,9,True,2024-09-11,2024-09-12,2,37,59,29,61,1,8,2.0,5.6,0,,
96,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,10,True,2024-10-11,2024-10-12,2,38,59,32,61,1,6,2.0,4.4,0,,
97,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,11,True,2024-10-16,2024-10-16,1,50,57,50,57,1,0,0.0,0.0,0,,
98,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,12,True,2024-10-19,2024-10-19,1,49,57,49,57,1,0,0.0,0.0,0,,
99,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,13,True,2024-10-21,2024-10-31,11,45,57,39,58,3,6,0.333,1.333,7,0.0,1.932
100,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,14,True,2024-11-11,2024-11-30,20,35,59,29,61,15,6,0.133,0.293,4,0.25,2.608
101,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,15,True,2024-12-11,2025-01-02,23,33,59,30,61,19,3,0.105,0.137,3,3.667,4.183
102,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,16,True,2025-01-13,2025-02-02,21,34,60,32,60,19,2,0.0,0.063,1,7.0,
103,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,17,True,2025-02-19,2025-02-20,2,45,58,45,58,1,0,0.0,0.0,1,0.0,
104,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,18,True,2025-02-26,2025-02-27,2,46,58,46,58,1,0,0.0,0.0,1,0.0,
105,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,19,True,2025-03-01,2025-03-02,2,32,58,32,59,1,0,1.0,0.4,1,7.0,
106,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,20,True,2025-04-01,2025-04-02,2,33,58,33,59,1,0,1.0,0.4,1,8.0,
107,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,21,True,2025-05-01,2025-05-02,2,37,59,37,59,1,0,0.0,0.0,1,3.0,
108,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,22,True,2025-06-01,2025-06-02,2,38,59,38,59,1,0,0.0,0.0,1,2.0,
109,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,23,True,2025-07-01,2025-07-02,2,36,59,36,59,1,0,0.0,0.0,1,4.0,
110,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,24,True,2025-08-01,2025-08-02,2,36,60,36,60,1,0,0.0,0.0,1,4.0,
111,A Psalm of Life - Lim Young Woong,A Psalm of Life,Lim Young Woong,album,False,3.8893333333333335,25,True,2025-09-01,2025-09-02,2,35,60,35,60,1,0,0.0,0.0,1,10.0,
