song_artist_id,song,artist,album_type,is_explicit,total_reentries,total_stays,avg_momentum_spike_score,max_momentum_spike_score,avg_post_comeback_retention_days,avg_rank_recovery_speed,best_peak_rank_ever,avg_stay_length_days,reentry_frequency_score,album_comeback_advantage_index,fandom_intensity_proxy_score
"Our Blues, Our Life - Lim Young Woong","Our Blues, Our Life",Lim Young Woong,album,False,47,48,1.968,10.0,4.438,6.667,16,7.521,0.959,1.115,45.72
OMG - NewJeans,OMG,NewJeans,single,False,45,46,2.046,24.6,3.043,7.783,10,6.891,0.918,0.823,45.07
New Jeans - NewJeans,New Jeans,NewJeans,single,False,47,48,2.492,35.8,3.542,4.917,3,5.812,0.959,1.002,44.84
Ditto - NewJeans,Ditto,NewJeans,single,False,49,50,1.108,14.8,4.0,4.4,12,7.48,1.0,0.446,44.66
Cruel Summer - Taylor Swift,Cruel Summer,Taylor Swift,album,False,46,47,1.871,7.0,2.787,4.766,22,5.298,0.939,1.06,43.28
Interlude : Dive - Jimin,Interlude : Dive,Jimin,single,False,37,38,3.374,20.2,4.974,11.526,7,9.553,0.755,1.357,42.89
Hype Boy - NewJeans,Hype Boy,NewJeans,single,False,46,47,1.007,5.1,2.83,3.723,15,6.83,0.939,0.405,41.57
A bientot - Lim Young Woong,A bientot,Lim Young Woong,album,False,41,42,2.225,10.6,3.69,6.238,18,6.667,0.837,1.261,40.74
Perfect Night - LE SSERAFIM,Perfect Night,LE SSERAFIM,single,False,43,44,2.401,16.5,3.25,3.591,9,6.273,0.878,0.966,40.41
Left and Right (Feat. Jung Kook of BTS) - Charlie Puth,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,album,False,42,43,1.103,9.0,1.767,3.767,6,5.256,0.857,0.625,38.43
ETA - NewJeans,ETA,NewJeans,single,False,41,42,0.748,5.7,4.357,3.524,3,8.071,0.837,0.301,37.06
Slime You Out (feat. SZA) - Drake & SZA,Slime You Out (feat. SZA),Drake & SZA,single,True,0,1,32.4,32.4,0.0,4.0,37,2.0,0.0,13.032,35.81
HAPPY - DAY6,HAPPY,DAY6,album,False,13,14,10.781,24.6,3.0,16.857,4,6.571,0.265,6.109,35.05
FE!N - Travis Scott,FE!N,Travis Scott,album,True,0,1,34.8,34.8,2.0,0.0,26,3.0,0.0,19.718,35.0
HYAENA - Travis Scott,HYAENA,Travis Scott,album,True,0,1,34.0,34.0,1.0,0.0,12,2.0,0.0,19.265,34.2
THANK GOD - Travis Scott,THANK GOD,Travis Scott,album,True,0,1,33.6,33.6,1.0,0.0,21,2.0,0.0,19.039,33.79
MELTDOWN - Travis Scott,MELTDOWN,Travis Scott,album,True,0,1,33.6,33.6,1.0,0.0,34,2.0,0.0,19.039,33.79
MY EYES - Travis Scott,MY EYES,Travis Scott,album,True,0,1,33.2,33.2,1.0,0.0,33,2.0,0.0,18.812,33.39
MODERN JAM - Travis Scott,MODERN JAM,Travis Scott,album,True,0,1,33.2,33.2,1.0,0.0,23,2.0,0.0,18.812,33.39
I Love You - Lim Young Woong,I Love You,Lim Young Woong,album,False,31,32,3.23,12.6,1.625,5.844,24,4.688,0.633,1.83,33.27
Rainbow - Lim Young Woong,Rainbow,Lim Young Woong,album,False,32,33,1.106,9.1,6.091,6.939,14,12.212,0.653,0.626,32.83
